,dataset,title,abstract,venue,authors,year,n_citations
0,cslg,3.1942043958822253,7.44192252342894,0.1863653259202624,0.09023081831751233,1.4075883342877458,0.16609034125389188
1,cscv,0.23809057632975783,2.572076043436085,3.1642067615061436,0.10102875365180766,1.348643400957477,0.2183237425046718
2,csai,2.318255841351729,5.4493106355283345,0.09131393189183193,0.09202502391396294,1.2628504352477858,0.17348172121626992
3,csit,0.7457724756197867,3.8313690310748454,4.642608575228824,0.11475461994514558,0.7933145307205894,0.25664708350967913
4,cscl,1.5152165414300172,6.904958857779326,0.13845312281032307,0.10086412263581918,1.2997589939931902,0.20586301980975658
5,cscr,1.6885650656933289,7.540762467874697,1.0670414936774566,0.09393372338513192,1.0962954196592847,0.19250102476298817
6,csds,2.0517769174810674,8.100916540603093,0.37524005339370886,0.0937953887587646,0.8566478412018574,0.2065772854200379
7,cssy,3.6787971279671288,7.450832895047162,2.562602406510748,0.08873495284752826,1.2602605654179173,0.139943256010723
8,csni,3.2988686409991126,6.737577768010244,0.6391954048465988,0.09666203932982691,0.8590901696136515,0.1839708475007132
9,csro,0.40860817872536004,2.22188196816418,5.071915865400575,0.1010677233374947,1.3683108912818944,0.16513506741929773
10,csdc,1.7374171861102103,6.294173587719737,0.49700646147680394,0.10008208064853316,1.0021688847512626,0.15918726225410645
11,cssi,4.218725898212807,8.631547025755001,0.5153035650489359,0.09531839564064701,0.9498367688634752,0.20491784619309253
12,cslo,2.4075294917864123,6.925121407030483,1.0582601936850535,0.09253531068407814,0.7615353292068057,0.16493114799958875
13,csna,1.3065153887137628,7.4206469058863265,0.3651942538176624,0.09714561568542956,1.5036316754818377,0.09113735815606865
14,cscy,0.48646938585084093,4.17146118744646,0.19953251492736487,0.11749679479941222,1.1188751667221786,0.1566762730852889
15,csdm,0.7359000189575382,6.159587072235619,0.7793954111445053,0.09485370380194058,0.8064346266717501,0.13640145889236308
16,csir,1.427064121495107,6.144275127618321,0.1586599401826288,0.09843097900632714,1.0786055188204666,0.17225264674474827
17,csne,4.554919990841393,8.300799804973785,0.6341831250099723,0.09087171222378276,1.0270930944382557,0.21122790579153397
18,csse,2.27784444364149,6.602349591843611,2.4262972314713496,0.10096413287689635,1.0180587165577883,0.12825145413147684
19,cscc,2.367535248437849,6.173636480689122,0.5150105652125871,0.09526102921685888,0.7742958448736512,0.17862255540199465
20,cshc,1.4854128453080908,5.520991410993413,0.2052734348321096,0.10545747698554742,1.184554159701285,0.14680093099837613
21,csgt,1.1964741843729794,5.845317043355611,0.2108151922423584,0.10198131068385018,0.9370155953362919,0.1796944601226107
22,cssd,1.0465161342304257,2.7976078718945017,0.01935300385471435,0.09762676329287963,1.4375660327761686,0.15901523819463675
23,csdb,2.4197074805396745,8.49584897712002,0.5583566803078595,0.10696377377379206,0.8869350507047232,0.1867813101629502
24,cscg,0.6598248699915205,2.341576733098494,0.03719752129515534,0.10036364894944688,0.8415452813136512,0.16317620495556118
25,cspl,1.2944806253206205,6.522395889217172,0.4711199564224446,0.09807277743100248,0.8596486901709618,0.137889883302723
26,csma,1.1829476982933558,3.228994026434652,0.5610810107184467,0.10076498266362979,1.154369846584758,0.14833356902533867
27,csce,0.38492403469015657,2.9419980378062416,0.696212816076261,0.10742888458130853,0.9480304687268212,0.15940693040741724
28,csfl,2.5264042002900453,4.97146836091364,0.27398002394886795,0.09483069841310933,0.8386970908106691,0.09888184362530951
29,csdl,0.6841151461006587,5.312625260157794,0.10961509156269438,0.09606605951563664,0.7868655273162464,0.24589227264658986
30,csmm,0.7155801759462997,2.0832778610604654,2.9221532048025782,0.1005948321688354,1.067347014216778,0.19216306861630747
31,csgr,0.27660485379065247,2.2201067424982943,1.6326527047237727,0.10158654202717027,1.2339719727932936,0.18214242130756025
32,cspf,3.526553873310192,10.964289009364538,0.5815084404794083,0.0872027721399252,0.916283087808421,0.1788011456306608
33,csar,1.6931134240024899,8.07848264956153,0.07180217646167211,0.09251761838297173,1.137380790157873,0.14349896467304155
34,cset,0.3429294572731634,3.0991562448159033,0.21603993674241467,0.10620739370649436,1.105790787847485,0.1792836127259554
35,csoh,0.3454781133316047,1.6593085982301534,0.26191799132562743,0.09592144327747633,0.50930046808642,0.1541350362186733
36,csms,0.6292423270544556,3.466807520106084,0.09833100360126314,0.09846959798204369,0.880595298929829,0.18986489620790548
37,cssc,1.097341869239687,3.23677517737211,0.1448319488743694,0.10169782154228456,0.8137355868610102,0.14169759113946173
38,csos,2.180586710718826,7.504125452572718,0.3718227545806478,0.09894698011419391,0.8200653860786192,0.14597822584717055
39,csgl,0.1510544872434674,1.3630640689710356,0.0019497597417270003,0.10532304048786818,0.7305842398747786,0.15863130912010162
